series_id,label,metric,median_ns,median_ms,p10_ms,p20_ms,p30_ms,p40_ms,p50_ms,p60_ms,p70_ms,p80_ms,p90_ms,n,warmups,excluded_samples,representative_run_id,geometry_scale,root_boundary,pcs_derived
u32-skip-3-baseline-session1,u32-skip-3-baseline-session1,sumcheck,1067958,1.067958,1.030375,1.043167,1.053041,1.062333,1.067958,1.129041,1.185333,1.192417,1.224208,21,1,0,u32-skip-3-baseline-session1-14,1,declared-root,false
u32-skip-3-baseline-session2,u32-skip-3-baseline-session2,end-to-end,1053292,1.053292,0.987916,0.995875,1.019542,1.035250,1.053292,1.092625,1.123375,1.135708,1.171292,21,1,0,u32-skip-3-baseline-session2-17,1,declared-root,false
u32-skip-3-baseline-session2,u32-skip-3-baseline-session2,proving,1053292,1.053292,0.987916,0.995875,1.019542,1.035250,1.053292,1.092625,1.123375,1.135708,1.171292,21,1,0,u32-skip-3-baseline-session2-17,1,declared-root,false
u32-skip-3-baseline-session2,u32-skip-3-baseline-session2,sumcheck,1053292,1.053292,0.987916,0.995875,1.019542,1.035250,1.053292,1.092625,1.123375,1.135708,1.171292,21,1,0,u32-skip-3-baseline-session2-17,1,declared-root,false
u32-skip-3-generic-session1,u32-skip-3-generic-session1,end-to-end,13030208,13.030208,12.990542,12.993334,13.006583,13.025584,13.030208,13.032208,13.036209,13.042167,13.099708,21,1,0,u32-skip-3-generic-session1-6,1,declared-root,false
u32-skip-3-generic-session1,u32-skip-3-generic-session1,proving,13030208,13.030208,12.990542,12.993334,13.006583,13.025584,13.030208,13.032208,13.036209,13.042167,13.099708,21,1,0,u32-skip-3-generic-session1-6,1,declared-root,false
u32-skip-3-generic-session1,u32-skip-3-generic-session1,sumcheck,13030208,13.030208,12.990542,12.993334,13.006583,13.025584,13.030208,13.032208,13.036209,13.042167,13.099708,21,1,0,u32-skip-3-generic-session1-6,1,declared-root,false
u32-skip-3-generic-session2,u32-skip-3-generic-session2,end-to-end,13028458,13.028458,12.952000,12.959417,12.981875,13.009458,13.028458,13.053917,13.076875,13.153709,13.161166,21,1,0,u32-skip-3-generic-session2-19,1,declared-root,false
u32-skip-3-generic-session2,u32-skip-3-generic-session2,proving,13028458,13.028458,12.952000,12.959417,12.981875,13.009458,13.028458,13.053917,13.076875,13.153709,13.161166,21,1,0,u32-skip-3-generic-session2-19,1,declared-root,false
u32-skip-3-generic-session2,u32-skip-3-generic-session2,sumcheck,13028458,13.028458,12.952000,12.959417,12.981875,13.009458,13.028458,13.053917,13.076875,13.153709,13.161166,21,1,0,u32-skip-3-generic-session2-19,1,declared-root,false
u64-ordinary-baseline-session1,u64-ordinary-baseline-session1,end-to-end,1871458,1.871458,1.820458,1.827583,1.832625,1.847667,1.871458,1.880667,1.904916,1.983375,1.994334,21,1,0,u64-ordinary-baseline-session1-21,1,declared-root,false
u64-ordinary-baseline-session1,u64-ordinary-baseline-session1,proving,1871458,1.871458,1.820458,1.827583,1.832625,1.847667,1.871458,1.880667,1.904916,1.983375,1.994334,21,1,0,u64-ordinary-baseline-session1-21,1,declared-root,false
u64-ordinary-baseline-session1,u64-ordinary-baseline-session1,sumcheck,1871458,1.871458,1.820458,1.827583,1.832625,1.847667,1.871458,1.880667,1.904916,1.983375,1.994334,21,1,0,u64-ordinary-baseline-session1-21,1,declared-root,false
u64-ordinary-baseline-session2,u64-ordinary-baseline-session2,end-to-end,1931417,1.931417,1.853875,1.869625,1.906167,1.907667,1.931417,1.943083,1.955208,1.998625,2.040083,21,1,0,u64-ordinary-baseline-session2-15,1,declared-root,false
u64-ordinary-baseline-session2,u64-ordinary-baseline-session2,proving,1931417,1.931417,1.853875,1.869625,1.906167,1.907667,1.931417,1.943083,1.955208,1.998625,2.040083,21,1,0,u64-ordinary-baseline-session2-15,1,declared-root,false
u64-ordinary-baseline-session2,u64-ordinary-baseline-session2,sumcheck,1931417,1.931417,1.853875,1.869625,1.906167,1.907667,1.931417,1.943083,1.955208,1.998625,2.040083,21,1,0,u64-ordinary-baseline-session2-15,1,declared-root,false
u64-ordinary-generic-session1,u64-ordinary-generic-session1,end-to-end,2473750,2.473750,2.393000,2.405583,2.441834,2.446375,2.473750,2.486417,2.513916,2.545167,2.623500,21,1,0,u64-ordinary-generic-session1-19,1,declared-root,false
u64-ordinary-generic-session1,u64-ordinary-generic-session1,proving,2473750,2.473750,2.393000,2.405583,2.441834,2.446375,2.473750,2.486417,2.513916,2.545167,2.623500,21,1,0,u64-ordinary-generic-session1-19,1,declared-root,false
u64-ordinary-generic-session1,u64-ordinary-generic-session1,sumcheck,2473750,2.473750,2.393000,2.405583,2.441834,2.446375,2.473750,2.486417,2.513916,2.545167,2.623500,21,1,0,u64-ordinary-generic-session1-19,1,declared-root,false
u64-ordinary-generic-session2,u64-ordinary-generic-session2,end-to-end,2545167,2.545167,2.401291,2.435375,2.476416,2.517292,2.545167,2.571875,2.602083,2.663375,2.745083,21,1,0,u64-ordinary-generic-session2-17,1,declared-root,false
u64-ordinary-generic-session2,u64-ordinary-generic-session2,proving,2545167,2.545167,2.401291,2.435375,2.476416,2.517292,2.545167,2.571875,2.602083,2.663375,2.745083,21,1,0,u64-ordinary-generic-session2-17,1,declared-root,false
u64-ordinary-generic-session2,u64-ordinary-generic-session2,sumcheck,2545167,2.545167,2.401291,2.435375,2.476416,2.517292,2.545167,2.571875,2.602083,2.663375,2.745083,21,1,0,u64-ordinary-generic-session2-17,1,declared-root,false
u64-skip-3-baseline-session1,u64-skip-3-baseline-session1,end-to-end,25093375,25.093375,24.993625,25.019167,25.045458,25.076708,25.093375,25.114666,25.124791,25.205625,25.299792,21,1,0,u64-skip-3-baseline-session1-9,1,declared-root,false
u64-skip-3-baseline-session1,u64-skip-3-baseline-session1,proving,25093375,25.093375,24.993625,25.019167,25.045458,25.076708,25.093375,25.114666,25.124791,25.205625,25.299792,21,1,0,u64-skip-3-baseline-session1-9,1,declared-root,false
u64-skip-3-baseline-session1,u64-skip-3-baseline-session1,sumcheck,25093375,25.093375,24.993625,25.019167,25.045458,25.076708,25.093375,25.114666,25.124791,25.205625,25.299792,21,1,0,u64-skip-3-baseline-session1-9,1,declared-root,false
u64-skip-3-baseline-session2,u64-skip-3-baseline-session2,end-to-end,25336375,25.336375,25.166500,25.205542,25.209208,25.284083,25.336375,25.352583,25.387000,25.411458,25.553875,21,1,0,u64-skip-3-baseline-session2-5,1,declared-root,false
u64-skip-3-baseline-session2,u64-skip-3-baseline-session2,proving,25336375,25.336375,25.166500,25.205542,25.209208,25.284083,25.336375,25.352583,25.387000,25.411458,25.553875,21,1,0,u64-skip-3-baseline-session2-5,1,declared-root,false
u64-skip-3-baseline-session2,u64-skip-3-baseline-session2,sumcheck,25336375,25.336375,25.166500,25.205542,25.209208,25.284083,25.336375,25.352583,25.387000,25.411458,25.553875,21,1,0,u64-skip-3-baseline-session2-5,1,declared-root,false
u64-skip-3-generic-session1,u64-skip-3-generic-session1,end-to-end,14303167,14.303167,14.269333,14.278334,14.287041,14.298250,14.303167,14.305917,14.308167,14.311667,14.374125,21,1,0,u64-skip-3-generic-session1-18,1,declared-root,false
u64-skip-3-generic-session1,u64-skip-3-generic-session1,proving,14303167,14.303167,14.269333,14.278334,14.287041,14.298250,14.303167,14.305917,14.308167,14.311667,14.374125,21,1,0,u64-skip-3-generic-session1-18,1,declared-root,false
u64-skip-3-generic-session1,u64-skip-3-generic-session1,sumcheck,14303167,14.303167,14.269333,14.278334,14.287041,14.298250,14.303167,14.305917,14.308167,14.311667,14.374125,21,1,0,u64-skip-3-generic-session1-18,1,declared-root,false
u64-skip-3-generic-session2,u64-skip-3-generic-session2,end-to-end,14265750,14.265750,14.226791,14.240625,14.253875,14.257375,14.265750,14.301083,14.323375,14.352292,14.397416,21,1,0,u64-skip-3-generic-session2-2,1,declared-root,false
u64-skip-3-generic-session2,u64-skip-3-generic-session2,proving,14265750,14.265750,14.226791,14.240625,14.253875,14.257375,14.265750,14.301083,14.323375,14.352292,14.397416,21,1,0,u64-skip-3-generic-session2-2,1,declared-root,false
u64-skip-3-generic-session2,u64-skip-3-generic-session2,sumcheck,14265750,14.265750,14.226791,14.240625,14.253875,14.257375,14.265750,14.301083,14.323375,14.352292,14.397416,21,1,0,u64-skip-3-generic-session2-2,1,declared-root,false
