mode,multiplication_relation,mul_log,sha_log,multiplications,sha_compressions,iteration,setup_ms,witness_commit_ms,continuation_ms,total_prover_ms,verify_ms,proof_bytes,proof_payload_bytes_estimate,peak_rss_kib
hybrid,u32_mod_2_32,15,7,32768,128,0,182.874,1.624,31.417,33.071,8.260,272416,,201948
hybrid,u32_mod_2_32,15,7,32768,128,1,182.874,1.403,28.177,29.612,7.859,272416,,205364
hybrid,u32_mod_2_32,15,7,32768,128,2,182.874,1.402,31.121,32.555,7.999,272416,,209988
hybrid,u32_mod_2_32,16,8,65536,256,0,369.372,3.015,46.348,49.395,14.327,312032,,324032
hybrid,u32_mod_2_32,16,8,65536,256,1,369.372,2.686,43.998,46.723,11.897,312032,,327112
hybrid,u32_mod_2_32,16,8,65536,256,2,369.372,2.757,44.672,47.462,11.921,312032,,327716
hybrid,u32_mod_2_32,17,9,131072,512,0,795.543,5.493,85.581,91.125,28.033,339752,,600652
hybrid,u32_mod_2_32,17,9,131072,512,1,795.543,5.333,73.889,79.268,26.940,339752,,607400
hybrid,u32_mod_2_32,17,9,131072,512,2,795.543,4.998,72.885,77.925,27.900,339752,,608016
hybrid,u32_mod_2_32,18,10,262144,1024,0,1740.176,10.593,144.462,155.098,50.190,381608,,1151756
hybrid,u32_mod_2_32,18,10,262144,1024,1,1740.176,10.327,130.880,141.266,48.096,381608,,1166200
hybrid,u32_mod_2_32,18,10,262144,1024,2,1740.176,9.936,126.174,136.161,48.489,381608,,1166200
hybrid,u32_mod_2_32,19,11,524288,2048,0,3638.023,21.372,257.647,279.073,91.025,423432,,2264688
hybrid,u32_mod_2_32,19,11,524288,2048,1,3638.023,19.804,256.108,275.973,91.355,423432,,2280392
hybrid,u32_mod_2_32,19,11,524288,2048,2,3638.023,20.498,249.664,270.217,90.161,423432,,2286280
