mode,iteration,setup_ms,witness_commit_ms,continuation_ms,total_prover_ms,verify_ms,proof_bytes,peak_rss_kib,piop_ms,iop_ms,mul_piop_ms,sha_piop_ms,joint_sumcheck_ms
hybrid,0,162.251,1.633,32.218,33.892,8.737,272416,190252,30.291,1.807,17.996,7.457,4.837
hybrid,1,162.251,1.969,30.544,32.608,7.717,272416,198492,28.515,1.907,16.606,6.914,4.995
