session,variant,bits,protocol,rows,threads,samples,baseline_ms,current_ms,baseline_p10_ms,baseline_p90_ms,current_p10_ms,current_p90_ms,saved_percent,proof_digest
1,production,64,skip-1,4096,10,5,0.644333,0.686667,0.6285664,0.6995498,0.6733252,0.7422834,-6.570205157891951,67a37cbe780f8c93de7dc17e73023213f8ef89a81304c866ab1fae9dde4fce51
1,production,64,skip-1,32768,10,5,2.930792,2.827583,2.7762834,3.1401672,2.7791167999999997,2.8612086,3.5215395701912677,6d26f59b414ddd97d263083a6817f7e43c164dc02931d6e5d633294a78c62e6d
1,production,64,skip-1,131072,10,5,8.981292,8.74525,8.6618666,9.1479166,8.675916599999999,9.067625,2.6281519407230003,26c53fb2e4a5d007d1650be850289020d36354f90e23a3edf15c5415c67a326a
1,production,64,skip-2,4096,10,5,0.751042,0.795833,0.7151254,0.788125,0.6942666,0.8772916,-5.963847561121738,c13758a50c6bae7c9bf3d5e34d6035c10bb13ddfea8176ef052a8868ca101184
1,production,64,skip-2,32768,10,5,4.136625,4.099083,3.9431827999999998,4.1503754,4.0197918,4.1906913999999995,0.9075514459251255,e6f8211b845acc669da637d51456aac2f2d04dc6c4f83a88ccf985288655b242
1,production,64,skip-2,131072,10,5,14.058083,14.331958,13.9190502,14.3089,14.147982800000001,14.7554336,-1.9481674706288254,fb4e9c5406efacafd559361b5c667f69906577f4eede4b894e04c67adbb51940
1,production,64,skip-3,4096,10,5,1.087709,1.129958,1.0724582,1.0993084,1.0511168,1.1483088000000001,-3.8842190328479465,2142031833f54913c65d241c21c12a79bbeec6af92cdf3d9a69e6850dba8fec6
1,production,64,skip-3,32768,10,5,6.568125,6.592125,6.5508668,6.669608599999999,6.5447412,6.7644918,-0.36540108478446687,4f3b56a617df95ff3d9236e4459595ba0118cd6ceba65c39f69ce17a53fb9562
1,production,64,skip-3,131072,10,5,25.340875,25.114792,25.047525,25.5938584,24.936183,25.147174800000002,0.8921672988797757,cb0e781f4561f4144660d1f59fdd21ef1d46e565fb4734e4736d7390b8e3028c
1,production,64,skip-4,4096,10,5,1.904833,1.811791,1.8475084,1.9889412,1.781842,1.8996663999999999,4.884522685190773,d3cd78f9143b6643e06811646bb3cde55d868e11df8d932470daf11557ced208
1,production,64,skip-4,32768,10,5,12.233209,12.475125,12.2056828,12.2918584,12.2291834,12.6749918,-1.9775350850296025,d64beba41c38404abc826195172cab7c131db319fdcef14ab98fb5f00b05f883
1,production,64,skip-4,131072,10,5,48.217875,48.136875,47.893458200000005,48.525558600000004,47.999466399999996,48.681125,0.16798749426432114,f06f0f159874890eb46989ad0c9ae68cc4528f7d577733301fafa87c6ffb5d7d
1,production,128,ordinary,4096,10,5,0.445875,0.441292,0.4457502,0.44837520000000003,0.4411164,0.44190779999999996,1.0278665545276122,3860bdf1412a5a655f6de624b1994ee21d22292a7d46778f2932a818429a596e
1,production,128,ordinary,32768,10,5,1.058167,1.127667,1.0323914,1.0962088,1.0057248,1.1490251999999999,-6.567961389837329,a96a090967fe2638817f1c53186a2a00adc1d5aead5bc7f59a0eded2901e5ec8
1,production,128,ordinary,131072,10,5,2.6145,2.596833,2.5652247999999997,2.786866,2.508483,2.6295,0.6757314974182416,f3d72ff37620cf0c0f29913623d58fb3ae8776b8be46bc311b31acc59f781733
1,production,128,skip-1,4096,10,5,0.699166,0.709708,0.6267748000000001,0.843375,0.6338252,0.7396752,-1.5077964317486758,f53debd043f5cd148016d7e8bc943964d989fbe75ad986360d1db4aaa531e62f
1,production,128,skip-1,32768,10,5,2.857583,2.789541,2.7825248,2.9171662,2.7822252,2.8009752000000003,2.381103191053413,8c84bbfcae85b0385321c4a33a1bf9c4bc9bda8558664d6100f8c578e473da45
