family,size,variant,rep,iterations,ns,bytes
dot,16,wide16,0,262144,31.758,512
dot,16,scalar_lanes,0,262144,15.440,512
dot,16,wide2,0,262144,13.672,512
dot,16,flock,0,262144,15.468,512
dot,16,shared,0,262144,15.137,512
dot,16,wide1,0,262144,13.553,512
dot,16,wide4,0,262144,13.850,512
dot,16,vec2,0,262144,28.708,512
dot,16,wide8,0,262144,15.415,512
dot,16,flock,1,262144,15.381,512
dot,16,wide4,1,262144,13.950,512
dot,16,shared,1,262144,15.373,512
dot,16,wide1,1,262144,13.303,512
dot,16,wide8,1,262144,16.056,512
dot,16,wide16,1,262144,31.185,512
dot,16,wide2,1,262144,13.574,512
dot,16,vec2,1,262144,28.511,512
dot,16,scalar_lanes,1,262144,15.613,512
dot,16,flock,2,262144,15.338,512
dot,16,vec2,2,262144,28.663,512
dot,16,scalar_lanes,2,262144,15.409,512
dot,16,wide2,2,262144,13.663,512
dot,16,wide4,2,262144,13.909,512
dot,16,wide1,2,262144,13.669,512
dot,16,wide8,2,262144,15.187,512
dot,16,shared,2,262144,15.392,512
dot,16,wide16,2,262144,31.712,512
dot,16,wide8,3,262144,15.172,512
dot,16,wide1,3,262144,13.388,512
dot,16,flock,3,262144,15.162,512
dot,16,wide16,3,262144,31.549,512
dot,16,wide4,3,262144,14.026,512
dot,16,shared,3,262144,15.164,512
dot,16,vec2,3,262144,28.433,512
dot,16,wide2,3,262144,13.896,512
dot,16,scalar_lanes,3,262144,15.190,512
dot,16,wide16,4,262144,31.805,512
dot,16,vec2,4,262144,28.498,512
dot,16,scalar_lanes,4,262144,15.126,512
dot,16,shared,4,262144,15.322,512
dot,16,wide1,4,262144,13.202,512
dot,16,wide8,4,262144,15.399,512
dot,16,wide4,4,262144,13.806,512
dot,16,wide2,4,262144,13.831,512
dot,16,flock,4,262144,15.132,512
dot,16,shared,5,262144,15.302,512
dot,16,wide1,5,262144,13.183,512
dot,16,wide4,5,262144,13.896,512
dot,16,wide8,5,262144,15.304,512
dot,16,scalar_lanes,5,262144,15.197,512
dot,16,vec2,5,262144,28.392,512
dot,16,flock,5,262144,15.321,512
dot,16,wide2,5,262144,13.703,512
dot,16,wide16,5,262144,31.442,512
dot,16,flock,6,262144,15.337,512
dot,16,vec2,6,262144,28.496,512
dot,16,wide16,6,262144,31.502,512
dot,16,wide4,6,262144,13.842,512
dot,16,shared,6,262144,15.274,512
dot,16,wide2,6,262144,13.647,512
dot,16,wide1,6,262144,13.175,512
dot,16,scalar_lanes,6,262144,15.371,512
dot,16,wide8,6,262144,15.196,512
dot,16,wide1,7,262144,13.405,512
dot,16,scalar_lanes,7,262144,15.275,512
dot,16,wide8,7,262144,15.488,512
dot,16,flock,7,262144,15.142,512
dot,16,wide4,7,262144,14.035,512
dot,16,wide16,7,262144,31.417,512
dot,16,shared,7,262144,15.124,512
dot,16,vec2,7,262144,28.552,512
dot,16,wide2,7,262144,13.672,512
dot,16,shared,8,262144,15.429,512
dot,16,wide16,8,262144,31.963,512
dot,16,wide1,8,262144,13.377,512
dot,16,wide2,8,262144,14.179,512
dot,16,wide8,8,262144,15.241,512
dot,16,vec2,8,262144,29.037,512
dot,16,wide4,8,262144,14.284,512
dot,16,flock,8,262144,15.314,512
dot,16,scalar_lanes,8,262144,15.289,512
dot,16,wide1,9,262144,13.510,512
dot,16,flock,9,262144,15.417,512
dot,16,vec2,9,262144,28.315,512
dot,16,scalar_lanes,9,262144,14.987,512
dot,16,wide4,9,262144,13.723,512
dot,16,wide2,9,262144,13.804,512
dot,16,wide16,9,262144,31.697,512
dot,16,wide8,9,262144,15.160,512
dot,16,shared,9,262144,15.360,512
dot,16,scalar_lanes,10,262144,15.111,512
dot,16,wide1,10,262144,13.449,512
dot,16,flock,10,262144,15.133,512
dot,16,vec2,10,262144,28.476,512
dot,16,wide2,10,262144,13.689,512
dot,16,shared,10,262144,15.296,512
dot,16,wide16,10,262144,31.801,512
dot,16,wide4,10,262144,13.835,512
dot,16,wide8,10,262144,15.524,512
dot,16,wide2,11,262144,13.668,512
dot,16,flock,11,262144,15.364,512
dot,16,wide4,11,262144,13.987,512
dot,16,wide16,11,262144,31.653,512
dot,16,shared,11,262144,15.337,512
dot,16,wide1,11,262144,13.191,512
dot,16,scalar_lanes,11,262144,15.348,512
dot,16,vec2,11,262144,28.392,512
