session,variant,bits,protocol,rows,threads,samples,baseline_ms,current_ms,baseline_p10_ms,baseline_p90_ms,current_p10_ms,current_p90_ms,saved_percent,proof_digest
1,production,64,skip-1,524288,10,21,33.083333,32.844084,32.798292,33.566083,32.647959,33.579709,0.7231707881427796,f8ea0e40d159976fd73215e1aeffd7c606b1bb09f13fb699b3b528f8ecbe0b80
1,production,64,skip-2,4096,10,21,0.817667,0.869334,0.773333,0.899708,0.799875,1.01575,-6.318831504756828,c13758a50c6bae7c9bf3d5e34d6035c10bb13ddfea8176ef052a8868ca101184
1,production,64,skip-2,32768,10,21,4.104708,4.129167,4.023291,4.3595,4.021833,4.313041,-0.5958767347153504,e6f8211b845acc669da637d51456aac2f2d04dc6c4f83a88ccf985288655b242
1,production,64,skip-2,131072,10,21,14.333291,14.200083,14.113792,14.67375,14.0165,14.493583,0.9293608843914503,fb4e9c5406efacafd559361b5c667f69906577f4eede4b894e04c67adbb51940
1,production,64,skip-2,524288,10,21,55.313542,54.803083,54.132167,55.815,53.951292,56.666167,0.9228463438483159,05ec829e1fd8e2b38f1c9505cbd6b98f2496a18ef7006c432e7c8dd4bcfb0711
1,production,64,skip-3,4096,10,21,1.24675,1.155791,1.135375,3.921459,1.039583,1.297125,7.295688790856225,2142031833f54913c65d241c21c12a79bbeec6af92cdf3d9a69e6850dba8fec6
1,production,64,skip-3,32768,10,21,6.812666,6.681791,6.658625,6.976042,6.586667,7.056,1.9210541071586373,4f3b56a617df95ff3d9236e4459595ba0118cd6ceba65c39f69ce17a53fb9562
1,production,64,skip-3,131072,10,21,25.319584,25.343667,25.208166,25.55725,25.193625,25.708583,-0.09511609669416998,cb0e781f4561f4144660d1f59fdd21ef1d46e565fb4734e4736d7390b8e3028c
1,production,64,skip-3,524288,10,21,98.793792,98.797125,98.5,99.551083,98.510625,99.4895,-0.0033736937640860276,f810ce93115ff8d210e6cc052ae4680ac3e3dcda0a073654620085ada11b3aa6
1,production,64,skip-4,4096,10,21,1.859834,1.855083,1.763125,1.953834,1.792416,2.020917,0.2554529060120436,d3cd78f9143b6643e06811646bb3cde55d868e11df8d932470daf11557ced208
1,production,64,skip-4,32768,10,21,12.467625,12.399125,12.328583,12.5315,12.252459,12.644458,0.5494230055844596,d64beba41c38404abc826195172cab7c131db319fdcef14ab98fb5f00b05f883
1,production,64,skip-4,131072,10,21,48.699041,48.841916,48.527792,49.144,48.562375,49.789667,-0.2933836007160906,f06f0f159874890eb46989ad0c9ae68cc4528f7d577733301fafa87c6ffb5d7d
1,production,64,skip-4,524288,10,21,191.726666,198.46675,191.063834,192.787875,192.824333,249.452292,-3.5154650840274915,506b4fd8679db82a35cf6c623e62cf3a89648453a8bebd5b4c5c1f87245f9376
1,production,128,ordinary,4096,10,21,0.495458,0.491083,0.474875,0.534125,0.458875,0.515834,0.8830213660895536,3860bdf1412a5a655f6de624b1994ee21d22292a7d46778f2932a818429a596e
1,production,128,ordinary,32768,10,21,1.777625,2.064583,1.580792,2.069334,1.594417,3.41125,-16.14277476970678,a96a090967fe2638817f1c53186a2a00adc1d5aead5bc7f59a0eded2901e5ec8
1,production,128,ordinary,131072,10,21,3.782625,3.630959,3.051959,4.368833,2.929958,4.721625,4.0095436370245485,f3d72ff37620cf0c0f29913623d58fb3ae8776b8be46bc311b31acc59f781733
1,production,128,ordinary,524288,10,21,9.564458,12.655625,8.423459,13.685375,8.599541,14.324792,-32.319311768633405,5ab4415f9d5b54932067c540b9de0cfe3e6fc8299dc6b86a452033d7b7d9c7fe
1,production,128,skip-1,4096,10,21,0.937625,0.884916,0.84175,1.766667,0.757,1.071292,5.621543794160777,f53debd043f5cd148016d7e8bc943964d989fbe75ad986360d1db4aaa531e62f
1,production,128,skip-1,32768,10,21,3.75525,4.370833,3.443375,4.639417,3.893708,5.559917,-16.39259703082352,8c84bbfcae85b0385321c4a33a1bf9c4bc9bda8558664d6100f8c578e473da45
1,production,128,skip-1,131072,10,21,11.649333,11.090625,10.286542,12.334417,10.700083,12.1415,4.796051413415691,a0b38472f3348d53248138779ece06dc1f1918ba18639866fdd52fa1fe6d1f09
1,production,128,skip-1,524288,10,21,38.957042,35.16025,35.642042,41.728083,34.284583,39.802958,9.746099305999667,2842ea026d647882e4280539da402e49979f58264e67fd0a6cffc7ab52c4a562
1,production,128,skip-2,4096,10,21,0.996042,0.980625,0.85325,1.496542,0.855125,1.059167,1.5478262964814693,9de8cade6392d7a181c4462ca5560f6b0fcfeb0bd77da9abf84d4120469ada3f
1,production,128,skip-2,32768,10,21,5.245792,4.952459,4.695417,6.678542,4.675,5.795667,5.591777180643076,af2556b54ae38f57835a239cb5074dab84c6a39edd717b910e9d651edbeb4634
1,production,128,skip-2,131072,10,21,16.363041,16.519,15.5655,17.303959,15.436584,17.160875,-0.9531174553678579,83366a3179fca832ae5965d207b5768b934b2c2db8784f84862f4c2d6afe0ba4
1,production,128,skip-2,524288,10,21,54.827958,54.988084,54.273042,56.903292,54.510625,55.546958,-0.2920517302504644,c2fccfe62ddc4962b4188d4785efe9f714c4e1caa4c202909a828d6b0dd4a587
1,production,128,skip-3,4096,10,21,1.4705,1.767042,1.250125,1.980625,1.405417,2.449584,-20.16606596395785,fcb33d8653758582522b22eb2a08534aedf9c88e227a56c098985bf2dfd42d47
1,production,128,skip-3,32768,10,21,7.582667,7.922292,7.280875,8.317958,7.294625,8.481292,-4.4789649868575365,a65b10af2f1f7b5f6af07a0564c46c99b78658db1eff6be0ab88f8e6a69dbebf
1,production,128,skip-3,131072,10,21,27.714958,27.253833,26.846959,28.539958,25.956292,27.873792,1.6638127324602126,fa97bf3ce82548e53cdff6c944b62d23d585ff8c0e3b505535c7af9e7406f134
1,production,128,skip-3,524288,10,21,100.768334,100.472125,98.861292,105.97725,99.77875,103.036291,0.29395047853029155,59b4d3df96057a7980b76e69de61f37a3dde0a33579ab1856560806836a4e9b8
1,production,128,skip-4,4096,10,21,2.353166,2.259167,2.1535,2.559833,1.99175,2.770125,3.9945758182805657,3d591372b0d50b180da20efe3cadf3a1fe1558cbe05e04fb02be766af83d63f9
1,production,128,skip-4,32768,10,21,13.714209,13.705708,13.219958,14.362625,12.780292,14.262875,0.06198680507202292,f14961b72f39347632ee8beaf43fc5b8a86c8bfe29d16ec59c34e38d2e99e936
1,production,128,skip-4,131072,10,21,51.614625,51.089334,50.935959,51.92625,49.391666,52.311583,1.017717362084869,803491efa5dbeb1dc572af1cc0d3bacf67d1db0a7bd298704b79c8951ae24272
1,production,128,skip-4,524288,10,21,192.181583,191.646917,191.023458,200.09,191.106,192.9135,0.2782087605137429,fbee0b0eb9cf2c9456dcbfc684e9ff18ec671cd9d3ee639e113211599af067ab
2,production,32,ordinary,4096,10,21,0.232083,0.229916,0.231791,0.2355,0.228625,0.238542,0.9337176785891299,8bae746bd5cf8ce2a0f428447f7ab25c20b45e08876b836ef376c8f6424d1b90
2,production,32,ordinary,32768,10,21,0.866083,0.984625,0.790042,0.956709,0.867459,1.103875,-13.687140839850231,65b43e77c0870f564fbd571e56bf0758915a88a585e0c6ee14f7025110463659
