campaign,operation,family,size,baseline,variant,baseline_us,candidate_us,median_ratio,median_ci_low,median_ci_high,p95_ratio,p95_ci_low,p95_ci_high,status,allocation_calls,allocation_bytes
arithmetic-arm-01,"GF128 delayed dot, 1,024 terms",gf_dot,1024,f2z_wide,shared_wide1,0.6955415,0.6957804999999999,1.0000662016242425,0.9996516929529348,1.0012643875250236,0.9999421939630733,0.9964414807074732,1.0085733599561462,pass,0,0
integer-focus-arm-03,"2-limb MAC, signed16 fixture",two_limb_mac,signed16_n1024,circuit_z,selected,0.6894325,0.6571655000000001,0.951586287545748,0.9464337942793124,0.9574498332031233,0.9519229198822287,0.9264863155720688,0.9585709623352068,pass,0,0
integer-focus-arm-03,"2-limb MAC, full128 fixture",two_limb_mac,full128_n1024,circuit_z,selected,0.6870574999999999,0.6555765,0.9526077307194379,0.9482935017594867,0.9565272637273496,0.9549936872112668,0.9467934222540695,0.9687257016913086,pass,0,0
arithmetic-arm-01,"1-limb MAC, signed16 fixture",integer_mac,l1_n1024,circuit_z,fused,0.3227655,0.32334050000000003,1.002628362334073,0.9990903351397973,1.0032278183154608,1.0040620590675045,0.9968848028316862,1.0206177257483848,inconclusive,0,0
arithmetic-arm-01,"4-limb MAC, signed16 fixture",integer_mac,l4_n1024,circuit_z,fused,3.112142,4.1300254999999995,1.3280634158330933,1.3250986579952184,1.329926236625968,1.3242793586034713,1.305528146218857,1.330386010482158,regression,0,0
arithmetic-arm-01,"9-limb MAC, signed16 fixture",integer_mac,l9_n1024,circuit_z,fused,21.263348,17.1967775,0.8096510623198284,0.807560554085243,0.8099622400198172,0.8056811613617566,0.8010258338864095,0.8107498390219552,pass,0,0
integer-focus-arm-03,"4-active-limb products, prepared",bounded_product,active4_n1024,existing_p256,prepared_selected,21.328859,6.777752,0.31815024219587384,0.3161397873370657,0.3198026342578381,0.3241493203562447,0.22383188681797608,0.33129188580435726,pass,0,0
integer-focus-arm-03,"4-active-limb products, including validation",bounded_product,active4_n1024,existing_p256,validate_execute_selected,21.328859,8.613361000000001,0.4031035244299874,0.401698420732908,0.40466375371295327,0.40672657645253113,0.2946431730671912,0.4102084682066473,pass,0,0
integer-focus-arm-03,"9-active-limb products, prepared",bounded_product,active9_n1024,existing_p256,prepared_selected,60.004883,54.805015499999996,0.9137080002811435,0.9097997199344257,0.9184619531410799,0.9147729814133152,0.8818866762332124,0.9377708575383304,pass,0,0
integer-focus-arm-03,"9-active-limb products, including validation",bounded_product,active9_n1024,existing_p256,validate_execute_selected,60.004883,54.843422,0.9137624576051533,0.9085004651262039,0.9177615057149101,0.917523416508294,0.8848438000095822,0.9327606726867705,pass,0,0
arithmetic-arm-01,"Prime scalar multiply, q128, branded",prime_mul,q128_n1024,raw_ctx,branded,4.8274135000000005,4.827393,1.0000464287995663,0.9993398669261297,1.000625586979255,0.9979332945354639,0.974129377476873,1.0125640866061651,inconclusive,0,0
arithmetic-arm-01,"Prime product MAC (R²), q128",prime_dot,q128_n1024,existing_delayed,acc4,2.3896785,2.3618265000000003,0.9877086050422346,0.9860949089327784,0.9887108100510822,0.9880355329485607,0.9613563941638898,1.0098543579636534,pass,0,0
arithmetic-arm-01,"Prime native MAC (R), q128",prime_linear,q128_n1024,existing_delayed,acc4,1.4872539999999999,1.3250835,0.8894991239950794,0.8885111838219585,0.8932716478399179,0.892481794632906,0.8852737010463079,0.8982272124095974,pass,0,0
arithmetic-arm-01,"GF fixed scalar, zero",fixed,zero_n1024,prepared,specialized,0.741694,0.1953785,0.2734335083460054,0.2485950651731402,0.30705617236925087,0.44319014639649745,0.270982564166996,0.5651106366513289,pass,0,0
arithmetic-arm-01,"GF fixed scalar, half width",fixed,half_n1024,prepared,specialized,0.7420095,0.946106,1.271517760135971,1.2682915270627273,1.27813444293338,1.2825580585040532,1.2715392092409181,1.2868666926816876,regression,0,0
arithmetic-arm-01,"GF fixed scalar, full width",fixed,full_n1024,prepared,specialized,0.741135,0.7416685,1.0014432343577573,1.000520976736904,1.002428086386216,1.0031486976346622,0.9991649587245164,1.0052591795370913,pass,0,0
arithmetic-arm-01,"GF butterfly, zero scalar",butterfly,zero_n1024,prepared,specialized,1.102819,0.5896555000000001,0.5338789047386423,0.5330732343033049,0.5389421705807962,0.5769105089544417,0.5342994329729915,0.6417953271059108,pass,0,0
arithmetic-arm-01,"GF butterfly, half-width scalar",butterfly,half_n1024,prepared,specialized,1.10289,1.161596,1.0527277924482072,1.0522225878844735,1.0557523035265457,1.055301311629348,1.0420007745532487,1.0629497099042802,regression,0,0
arithmetic-arm-01,"GF butterfly, full-width scalar",butterfly,full_n1024,prepared,specialized,1.1030125,1.103495,1.0008494746371468,1.0003954257461325,1.0016843658908239,1.000319895435406,0.9973592245570904,1.007160335039217,pass,0,0
arithmetic-arm-01,"Product accumulator, 100-bit modulus",prime_reduce_product,100,existing_optimized,crypto_bigint,0.015882999999999998,0.10613249999999999,6.680153778281968,6.670215264778128,8.782212801025644,6.6780298055696266,6.520588409050629,8.612716042424433,regression,0,0
arithmetic-arm-01,"Product accumulator, 128-bit modulus",prime_reduce_product,128,existing_optimized,crypto_bigint,0.01588,0.1049785,6.608511979823456,6.60447474263995,8.72477722846719,6.572575265230584,6.470954356846473,8.737573224598664,regression,0,0
arithmetic-arm-01,"Native accumulator, 100-bit modulus",prime_reduce_linear,100,existing_optimized,crypto_bigint,0.013264,0.09962950000000001,7.5138433721324445,7.507402422413237,7.530838478313038,7.514823930754327,7.379328076512024,7.545960769655012,regression,0,0
