mode,multiplication_relation,mul_log,sha_log,multiplications,sha_compressions,iteration,setup_ms,witness_commit_ms,continuation_ms,total_prover_ms,verify_ms,proof_bytes,proof_payload_bytes_estimate,peak_rss_kib
hybrid,u32_mod_2_32,15,7,32768,128,0,176.615,2.171,38.121,40.333,10.374,272416,,198556
separate,u32_mod_2_32,15,7,32768,128,0,162.169,,,31.126,8.582,,353984,194260
all-binius,u32_mod_2_32,15,7,32768,128,0,642.922,,,50.246,8.589,361008,,590852
hybrid,u32_mod_2_32,16,8,65536,256,0,453.313,3.154,49.956,53.155,16.033,312032,,318820
separate,u32_mod_2_32,16,8,65536,256,0,389.626,,,44.434,15.762,,404404,314376
all-binius,u32_mod_2_32,16,8,65536,256,0,1287.241,,,85.826,16.707,396704,,1082028
hybrid,u32_mod_2_32,17,9,131072,512,0,921.780,6.252,84.213,90.519,29.748,339752,,600684
separate,u32_mod_2_32,17,9,131072,512,0,854.700,,,78.299,27.713,,458896,604344
all-binius,u32_mod_2_32,17,9,131072,512,0,2673.124,,,167.979,28.479,437680,,2052344
hybrid,u32_mod_2_32,18,10,262144,1024,0,2067.773,10.992,205.820,216.948,63.716,381608,,1146712
separate,u32_mod_2_32,18,10,262144,1024,0,2241.433,,,141.414,50.922,,539232,1140376
all-binius,u32_mod_2_32,18,10,262144,1024,0,5488.182,,,336.022,57.239,473440,,4014964
hybrid,u32_mod_2_32,19,11,524288,2048,0,3843.577,23.900,299.833,323.804,94.078,423432,,2270212
separate,u32_mod_2_32,19,11,524288,2048,0,3892.008,,,249.310,95.591,,618860,2242492
all-binius,u32_mod_2_32,19,11,524288,2048,0,12567.719,,,931.527,124.964,517872,,7831116
hybrid,u32_mod_2_32,20,12,1048576,4096,0,8016.565,44.264,585.154,629.496,174.684,467000,,4095444
separate,u32_mod_2_32,20,12,1048576,4096,0,8191.450,,,482.076,182.623,,680232,4047460
all-binius,u32_mod_2_32,20,12,1048576,4096,0,22813.232,,,1445.860,246.526,577824,,15570908
