run_timestamp,commit,git_dirty,binary_sha256,hardware,operating_system,cargo_features,threads,root_seed,exponent,multiplications,baseline_policy,candidate_policy,baseline_inner_ms,candidate_inner_ms,inner_latency_reduction_pct,baseline_spartan_ms,candidate_spartan_ms,spartan_latency_reduction_pct,best_inner_at_exponent
2026-08-27T17:21:48Z,768a6ddb3d0fa84016f6738882557e7a9be6e426,true,da6a0750a974906e243a48256151ba73990f207a9e3944f2fdd261aa0de5d2fe,Apple M1 Max,Darwin 25.5.0 arm64,"unchecked,bench-internals",10,0x5533326d756c0064,17,131072,fold-delayed__field-delayed,fold-delayed__field-threshold-4096,6.053875,6.097333,-0.7178542668951741,15.9035,15.849042,0.34242776747255993,False
2026-08-27T17:21:48Z,768a6ddb3d0fa84016f6738882557e7a9be6e426,true,da6a0750a974906e243a48256151ba73990f207a9e3944f2fdd261aa0de5d2fe,Apple M1 Max,Darwin 25.5.0 arm64,"unchecked,bench-internals",10,0x5533326d756c0064,17,131072,fold-delayed__field-delayed,fold-immediate__field-delayed,6.053875,6.45875,-6.687865210299198,15.9035,16.268167,-2.292998396579363,False
2026-08-27T17:21:48Z,768a6ddb3d0fa84016f6738882557e7a9be6e426,true,da6a0750a974906e243a48256151ba73990f207a9e3944f2fdd261aa0de5d2fe,Apple M1 Max,Darwin 25.5.0 arm64,"unchecked,bench-internals",10,0x5533326d756c0064,17,131072,fold-delayed__field-delayed,fold-immediate__field-immediate,6.053875,6.524875,-7.78014081889699,15.9035,16.283125,-2.3870531643977677,False
2026-08-27T17:21:48Z,768a6ddb3d0fa84016f6738882557e7a9be6e426,true,da6a0750a974906e243a48256151ba73990f207a9e3944f2fdd261aa0de5d2fe,Apple M1 Max,Darwin 25.5.0 arm64,"unchecked,bench-internals",10,0x5533326d756c0064,17,131072,fold-delayed__field-delayed,fold-immediate__field-threshold-4096,6.053875,8.19775,-35.41326836117362,15.9035,29.085334,-82.88637092463924,False
2026-08-27T17:21:48Z,768a6ddb3d0fa84016f6738882557e7a9be6e426,true,da6a0750a974906e243a48256151ba73990f207a9e3944f2fdd261aa0de5d2fe,Apple M1 Max,Darwin 25.5.0 arm64,"unchecked,bench-internals",10,0x5533326d756c0064,18,262144,fold-delayed__field-delayed,fold-delayed__field-delayed,12.29725,12.29725,0.0,31.187125,31.187125,0.0,False
2026-08-27T17:21:48Z,768a6ddb3d0fa84016f6738882557e7a9be6e426,true,da6a0750a974906e243a48256151ba73990f207a9e3944f2fdd261aa0de5d2fe,Apple M1 Max,Darwin 25.5.0 arm64,"unchecked,bench-internals",10,0x5533326d756c0064,18,262144,fold-delayed__field-delayed,fold-delayed__field-immediate,12.29725,11.682666,4.997735266014765,31.187125,30.799875,1.241698296973516,False
2026-08-27T17:21:48Z,768a6ddb3d0fa84016f6738882557e7a9be6e426,true,da6a0750a974906e243a48256151ba73990f207a9e3944f2fdd261aa0de5d2fe,Apple M1 Max,Darwin 25.5.0 arm64,"unchecked,bench-internals",10,0x5533326d756c0064,18,262144,fold-delayed__field-delayed,fold-delayed__field-threshold-4096,12.29725,10.954875,10.916058468356752,31.187125,29.033708,6.904826911746437,True
2026-08-27T17:21:48Z,768a6ddb3d0fa84016f6738882557e7a9be6e426,true,da6a0750a974906e243a48256151ba73990f207a9e3944f2fdd261aa0de5d2fe,Apple M1 Max,Darwin 25.5.0 arm64,"unchecked,bench-internals",10,0x5533326d756c0064,18,262144,fold-delayed__field-delayed,fold-immediate__field-delayed,12.29725,11.715458,4.731074020614366,31.187125,29.728833,4.675942396100956,False
2026-08-27T17:21:48Z,768a6ddb3d0fa84016f6738882557e7a9be6e426,true,da6a0750a974906e243a48256151ba73990f207a9e3944f2fdd261aa0de5d2fe,Apple M1 Max,Darwin 25.5.0 arm64,"unchecked,bench-internals",10,0x5533326d756c0064,18,262144,fold-delayed__field-delayed,fold-immediate__field-immediate,12.29725,11.824209,3.846721828050989,31.187125,30.369125,2.6228772289847218,False
2026-08-27T17:21:48Z,768a6ddb3d0fa84016f6738882557e7a9be6e426,true,da6a0750a974906e243a48256151ba73990f207a9e3944f2fdd261aa0de5d2fe,Apple M1 Max,Darwin 25.5.0 arm64,"unchecked,bench-internals",10,0x5533326d756c0064,18,262144,fold-delayed__field-delayed,fold-immediate__field-threshold-4096,12.29725,11.794292,4.090003862652216,31.187125,30.426625,2.4385062746245456,False
