benchmark_algorithm,benchmark_date,run_timestamp_utc,commit,git_dirty,binary_sha256,memory_binary_sha256,hardware,operating_system,cargo_profile,cargo_features,threads,measured_runs,warmup_runs,field_modulus,ligerito_hash,ligerito_inverse_rate,ligerito_initial_k,allocator_instrumentation,root_seed,pass,order,protocol,skip_vars,strategy,reduction_backend,word_bits,f2z_t,f2z_s,f2z_chunks,exponent,multiplications,r1cs_rows,multiplications_per_row,r1cs_columns,r1cs_nnz,integer_witness_values,compact_witness_bits,compact_witness_bytes,prove_ms,spartan_prove_ms,historical_spartan_prove_ms,historical_15pct_target_ms,spartan_outer_ms,spartan_bind_ms,spartan_inner_ms,bitify_prove_ms,f2z_prove_ms,f2z_prepare_prove_ms,verify_ms,spartan_verify_ms,bitify_verify_ms,f2z_verify_ms,f2z_prepare_verify_ms,spartan_proof_payload_bytes,f2z_proof_bytes,peak_heap_mib,live_before_prove_mib,memory_order,shape_seed,verified_samples,all_samples_passed
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,20,12,1,25,33554432,33554432,1,134217728,100663296,134217728,4294967296,536870912,23862.674791000,6509.091625000,36562.782900,31078.365465,230.081291000,1949.723042000,4339.622583000,0.011541000,16972.814208000,9.033625000,4526.508625000,4497.237917000,0.015708000,29.124000000,12.144416000,2864,346296,30112.197582,8608.178455,1,0x2659d1701b2a1e69,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,8,12,7,1,15,32768,32768,1,131072,98304,131072,4194304,524288,34.922708000,3.932750000,12.815000,10.892750,0.704958000,1.102083000,2.076416000,0.005334000,30.767583000,0.016125000,6.746667000,2.799167000,0.004417000,3.865250000,0.017292000,1744,116184,29.504528,8.493244,1,0x107313b30031455f,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,8,12,8,1,16,65536,65536,1,262144,196608,262144,8388608,1048576,71.801792000,7.134375000,24.775300,21.059005,1.305084000,2.253500000,3.509041000,0.005500000,64.440792000,0.016584000,9.407458000,5.541375000,0.006459000,3.798542000,0.019500000,1856,137324,58.913792,16.901691,1,0xb644a9fa81cbc134,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,8,13,8,1,17,131072,131072,1,524288,393216,524288,16777216,2097152,74.783542000,12.718292000,49.267200,41.877120,1.682042000,4.543333000,6.335166000,0.007000000,61.819792000,0.281667000,15.737583000,11.064542000,0.009917000,4.632500000,0.353959000,1968,150216,117.727299,33.714436,1,0xd49c273c069e3d01,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,8,13,9,1,18,262144,262144,1,1048576,786432,1048576,33554432,4194304,117.579333000,23.750500000,91.394200,77.685070,2.528708000,8.851084000,12.358584000,0.006667000,89.921041000,0.302375000,27.251084000,22.145084000,0.009917000,5.033541000,0.274333000,2080,164880,235.359501,67.345875,1,0x4ad5bd678650b91e,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,8,14,9,1,19,524288,524288,1,2097152,1572864,2097152,67108864,8388608,219.864291000,44.127292000,179.260000,152.371000,3.950292000,17.914791000,22.039291000,0.006875000,170.996084000,0.546500000,49.436417000,43.943083000,0.009334000,5.401000000,0.526292000,2192,186340,470.609585,134.595142,1,0xeb2d3aa907eb35eb,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,8,14,10,1,20,1048576,1048576,1,4194304,3145728,4194304,134217728,16777216,440.412500000,111.931250000,403.957800,343.364130,9.029834000,35.781875000,63.324542000,0.006917000,324.576125000,0.504417000,95.224666000,89.024834000,0.009875000,5.941583000,0.658667000,2304,208368,941.122494,269.107288,1,0x0966b01084bdb1c0,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,8,15,10,1,21,2097152,2097152,1,8388608,6291456,8388608,268435456,33554432,917.747417000,185.532916000,802.512500,682.135625,13.532042000,71.230458000,80.065625000,0.007791000,704.868333000,0.698458000,185.138916000,176.937708000,0.010417000,7.889375000,0.951834000,2416,222548,1882.123745,538.107777,1,0xafbfce5a04702ddd,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,8,15,11,1,22,4194304,4194304,1,16777216,12582912,16777216,536870912,67108864,1752.457833000,339.317375000,1719.153500,1461.280475,25.727833000,144.799791000,167.088333000,0.007250000,1367.127500000,0.694584000,359.969166000,351.396542000,0.010750000,7.895833000,0.789583000,2528,259252,3764.147633,1076.130848,1,0xcdf7479d850aa9aa,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,8,16,11,1,23,8388608,8388608,1,33554432,25165824,33554432,1073741824,134217728,4065.536250000,658.596041000,3547.512100,3015.385285,48.862917000,287.948375000,316.736167000,0.007750000,3330.247792000,0.981292000,718.783875000,709.106334000,0.011666000,9.571500000,1.222084000,2640,276064,7528.148640,2152.131092,1,0x63c8ddc71add2587,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,8,16,12,1,24,16777216,16777216,1,67108864,50331648,67108864,2147483648,268435456,8706.340416000,2275.750125000,9870.229900,8389.695415,119.304375000,979.124750000,1194.893292000,0.008541000,6339.791375000,1.090750000,2216.930750000,2205.010959000,0.011792000,11.575042000,1.264208000,2752,322732,15056.197498,4304.179188,1,0x80005b0e9b97a19c,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,8,17,12,1,25,33554432,33554432,1,134217728,100663296,134217728,4294967296,536870912,20369.658125000,5297.629291000,36562.782900,31078.365465,235.531125000,1957.152875000,3073.343875000,0.012000000,15049.042375000,1.379459000,6773.081708000,6754.000250000,0.025000000,18.250041000,1.996083000,2864,344760,30112.197582,8608.178455,1,0x2659d1701b2a1e69,5,true
