benchmark_algorithm,benchmark_date,run_timestamp_utc,commit,git_dirty,binary_sha256,memory_binary_sha256,hardware,operating_system,cargo_profile,cargo_features,threads,measured_runs,warmup_runs,field_modulus,ligerito_hash,ligerito_inverse_rate,ligerito_initial_k,allocator_instrumentation,root_seed,pass,order,protocol,skip_vars,strategy,reduction_backend,word_bits,f2z_t,f2z_s,f2z_chunks,exponent,multiplications,sample,prove_ms,spartan_prove_ms,spartan_outer_ms,spartan_bind_ms,spartan_inner_ms,bitify_prove_ms,f2z_prove_ms,f2z_prepare_prove_ms,verify_ms,spartan_verify_ms,bitify_verify_ms,f2z_verify_ms,f2z_prepare_verify_ms,verified,r1cs_rows,multiplications_per_row,r1cs_columns,r1cs_nnz,integer_witness_values,compact_witness_bits,compact_witness_bytes,spartan_proof_payload_bytes,f2z_proof_bytes,shape_seed,peak_heap_mib,live_before_prove_mib,memory_order
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,16,8,1,17,131072,0,83.677375000,11.992333000,1.583666000,4.467375000,5.836834000,0.007542000,71.438083000,3.102416000,18.486041000,11.136291000,0.009541000,7.275000000,2.758250000,true,131072,1,524288,393216,524288,16777216,2097152,1968,149768,0xd49c273c069e3d01,117.727299,33.714436,1
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,16,8,1,17,131072,1,85.786041000,12.722583000,1.964208000,4.397291000,6.253958000,0.006292000,72.769209000,3.471667000,17.932042000,10.901709000,0.007542000,6.960000000,2.902125000,true,131072,1,524288,393216,524288,16777216,2097152,1968,149768,0xd49c273c069e3d01,117.727299,33.714436,1
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,16,8,1,17,131072,2,84.120625000,12.121708000,1.678917000,4.331167000,6.005833000,0.006042000,71.707417000,3.296542000,17.944125000,10.882542000,0.007084000,6.989083000,2.785834000,true,131072,1,524288,393216,524288,16777216,2097152,1968,149768,0xd49c273c069e3d01,117.727299,33.714436,1
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,16,8,1,17,131072,3,88.724208000,16.844875000,2.193833000,4.335000000,10.209375000,0.005750000,71.600416000,3.154375000,17.969292000,10.883500000,0.006875000,7.017334000,2.974083000,true,131072,1,524288,393216,524288,16777216,2097152,1968,149768,0xd49c273c069e3d01,117.727299,33.714436,1
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,16,8,1,17,131072,4,86.827666000,12.468250000,1.775250000,4.355041000,6.232542000,0.006125000,74.067000000,2.843250000,17.870833000,10.938583000,0.007208000,6.862375000,2.549875000,true,131072,1,524288,393216,524288,16777216,2097152,1968,149768,0xd49c273c069e3d01,117.727299,33.714436,1
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,16,9,1,18,262144,0,144.602500000,32.028416000,2.740209000,9.240208000,19.855959000,0.007042000,111.607250000,2.998250000,30.893959000,22.461375000,0.009792000,8.350291000,3.639500000,true,262144,1,1048576,786432,1048576,33554432,4194304,2080,164944,0x4ad5bd678650b91e,235.359501,67.345875,1
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,16,9,1,18,262144,1,143.590542000,24.758833000,2.676791000,9.372541000,12.498917000,0.006917000,118.283917000,2.870334000,31.088250000,22.554041000,0.010583000,8.451958000,2.960000000,true,262144,1,1048576,786432,1048576,33554432,4194304,2080,164944,0x4ad5bd678650b91e,235.359501,67.345875,1
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,16,9,1,18,262144,2,136.774500000,24.808625000,2.909250000,9.053667000,12.657167000,0.006792000,111.562791000,3.268459000,30.431416000,22.251750000,0.009250000,8.099500000,3.130583000,true,262144,1,1048576,786432,1048576,33554432,4194304,2080,164944,0x4ad5bd678650b91e,235.359501,67.345875,1
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,16,9,1,18,262144,3,124.480083000,21.990167000,2.238333000,8.990833000,10.573167000,0.008042000,102.094459000,3.242542000,29.932375000,22.151375000,0.008834000,7.699541000,3.032875000,true,262144,1,1048576,786432,1048576,33554432,4194304,2080,164944,0x4ad5bd678650b91e,235.359501,67.345875,1
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,16,9,1,18,262144,4,122.255708000,22.690042000,2.298667000,8.839666000,11.363542000,0.006125000,99.192375000,3.422791000,30.738791000,22.664917000,0.009709000,7.985958000,3.014209000,true,262144,1,1048576,786432,1048576,33554432,4194304,2080,164944,0x4ad5bd678650b91e,235.359501,67.345875,1
