family,size,variant,rep,iterations,ns,bytes
dot,16,wide1,0,262144,13.217,512
dot,16,vec2,0,262144,28.483,512
dot,16,wide4,0,262144,14.040,512
dot,16,shared,0,262144,15.378,512
dot,16,wide2,0,262144,13.668,512
dot,16,wide16,0,262144,31.989,512
dot,16,wide8,0,262144,15.474,512
dot,16,flock,0,262144,14.999,512
dot,16,flock,1,262144,15.127,512
dot,16,wide8,1,262144,15.034,512
dot,16,wide4,1,262144,14.088,512
dot,16,wide1,1,262144,13.154,512
dot,16,shared,1,262144,15.329,512
dot,16,wide16,1,262144,31.541,512
dot,16,wide2,1,262144,13.677,512
dot,16,vec2,1,262144,28.560,512
dot,16,vec2,2,262144,28.467,512
dot,16,shared,2,262144,15.110,512
dot,16,wide2,2,262144,13.823,512
dot,16,flock,2,262144,15.112,512
dot,16,wide8,2,262144,15.647,512
dot,16,wide4,2,262144,13.818,512
dot,16,wide1,2,262144,13.566,512
dot,16,wide16,2,262144,31.351,512
dot,16,vec2,3,262144,28.004,512
dot,16,wide4,3,262144,13.786,512
dot,16,wide8,3,262144,15.468,512
dot,16,flock,3,262144,15.357,512
dot,16,wide2,3,262144,13.580,512
dot,16,wide1,3,262144,13.357,512
dot,16,wide16,3,262144,31.701,512
dot,16,shared,3,262144,14.881,512
dot,16,vec2,4,262144,28.545,512
dot,16,wide8,4,262144,15.295,512
dot,16,wide4,4,262144,13.648,512
dot,16,wide2,4,262144,13.554,512
dot,16,shared,4,262144,15.193,512
dot,16,wide16,4,262144,31.566,512
dot,16,flock,4,262144,14.863,512
dot,16,wide1,4,262144,13.828,512
dot,16,wide4,5,262144,13.800,512
dot,16,wide16,5,262144,31.720,512
dot,16,wide1,5,262144,13.249,512
dot,16,wide2,5,262144,13.463,512
dot,16,wide8,5,262144,15.269,512
dot,16,flock,5,262144,14.961,512
dot,16,shared,5,262144,15.414,512
dot,16,vec2,5,262144,28.302,512
dot,16,flock,6,262144,15.273,512
dot,16,shared,6,262144,15.070,512
dot,16,wide8,6,262144,15.159,512
dot,16,wide1,6,262144,13.067,512
dot,16,wide2,6,262144,14.039,512
dot,16,wide16,6,262144,31.500,512
dot,16,wide4,6,262144,13.690,512
dot,16,vec2,6,262144,28.108,512
dot,16,wide4,7,262144,13.659,512
dot,16,wide16,7,262144,31.403,512
dot,16,wide1,7,262144,13.462,512
dot,16,wide8,7,262144,15.042,512
dot,16,flock,7,262144,15.102,512
dot,16,vec2,7,262144,28.576,512
dot,16,shared,7,262144,15.122,512
dot,16,wide2,7,262144,13.979,512
dot,16,wide8,8,262144,15.210,512
dot,16,wide1,8,262144,13.637,512
dot,16,flock,8,262144,14.912,512
dot,16,shared,8,262144,15.146,512
dot,16,vec2,8,262144,27.779,512
dot,16,wide16,8,262144,31.073,512
dot,16,wide4,8,262144,13.868,512
dot,16,wide2,8,262144,13.586,512
dot,16,wide8,9,262144,15.216,512
dot,16,wide4,9,262144,13.801,512
dot,16,flock,9,262144,15.133,512
dot,16,wide16,9,262144,31.626,512
dot,16,wide2,9,262144,13.602,512
dot,16,shared,9,262144,15.667,512
dot,16,vec2,9,262144,27.819,512
dot,16,wide1,9,262144,13.199,512
dot,16,wide4,10,262144,13.725,512
dot,16,wide1,10,262144,13.659,512
dot,16,vec2,10,262144,28.625,512
dot,16,flock,10,262144,14.902,512
dot,16,shared,10,262144,15.127,512
dot,16,wide8,10,262144,15.057,512
dot,16,wide2,10,262144,13.560,512
dot,16,wide16,10,262144,31.667,512
dot,16,vec2,11,262144,28.321,512
dot,16,flock,11,262144,15.138,512
dot,16,wide2,11,262144,13.461,512
dot,16,shared,11,262144,15.656,512
dot,16,wide16,11,262144,31.561,512
dot,16,wide8,11,262144,14.972,512
dot,16,wide1,11,262144,13.204,512
dot,16,wide4,11,262144,13.741,512
dot,16,vec2,12,262144,28.234,512
dot,16,wide8,12,262144,15.168,512
dot,16,shared,12,262144,15.419,512
dot,16,wide2,12,262144,13.457,512
dot,16,wide4,12,262144,14.100,512
dot,16,wide16,12,262144,31.408,512
dot,16,wide1,12,262144,12.964,512
dot,16,flock,12,262144,15.157,512
dot,16,shared,13,262144,15.069,512
dot,16,wide2,13,262144,13.886,512
dot,16,wide8,13,262144,15.183,512
dot,16,wide1,13,262144,13.045,512
dot,16,wide4,13,262144,13.976,512
dot,16,vec2,13,262144,28.207,512
dot,16,wide16,13,262144,31.442,512
dot,16,flock,13,262144,15.178,512
dot,16,wide16,14,262144,31.504,512
dot,16,flock,14,262144,15.402,512
dot,16,vec2,14,262144,27.860,512
dot,16,wide2,14,262144,13.452,512
dot,16,wide8,14,262144,15.638,512
dot,16,wide1,14,262144,13.026,512
dot,16,shared,14,262144,15.112,512
dot,16,wide4,14,262144,13.732,512
dot,16,wide2,15,262144,13.553,512
dot,16,shared,15,262144,15.042,512
dot,16,flock,15,262144,15.015,512
dot,16,vec2,15,262144,29.415,512
dot,16,wide1,15,262144,13.604,512
dot,16,wide8,15,262144,16.546,512
dot,16,wide4,15,262144,14.279,512
dot,16,wide16,15,262144,31.749,512
dot,16,wide8,16,262144,15.197,512
