family,size,variant,rep,iterations,ns,bytes
dot,16,wide4,0,262144,14.261,512
dot,16,wide2,0,262144,13.653,512
dot,16,vec2,0,262144,29.300,512
dot,16,wide8,0,262144,15.646,512
dot,16,wide16,0,262144,32.269,512
dot,16,wide1,0,262144,13.536,512
dot,16,shared,0,262144,15.161,512
dot,16,flock,0,262144,15.411,512
dot,16,wide2,1,262144,13.679,512
dot,16,wide1,1,262144,13.415,512
dot,16,wide4,1,262144,14.200,512
dot,16,shared,1,262144,15.832,512
dot,16,wide16,1,262144,31.559,512
dot,16,flock,1,262144,15.118,512
dot,16,vec2,1,262144,28.396,512
dot,16,wide8,1,262144,15.366,512
dot,16,wide2,2,262144,13.831,512
dot,16,wide4,2,262144,13.916,512
dot,16,flock,2,262144,15.334,512
dot,16,wide16,2,262144,31.648,512
dot,16,vec2,2,262144,28.612,512
dot,16,wide8,2,262144,15.193,512
dot,16,wide1,2,262144,13.461,512
dot,16,shared,2,262144,15.125,512
dot,16,vec2,3,262144,28.602,512
dot,16,wide4,3,262144,13.962,512
dot,16,shared,3,262144,15.280,512
dot,16,wide2,3,262144,13.764,512
dot,16,wide8,3,262144,15.461,512
dot,16,flock,3,262144,15.236,512
dot,16,wide16,3,262144,31.778,512
dot,16,wide1,3,262144,13.387,512
dot,16,vec2,4,262144,28.544,512
dot,16,wide4,4,262144,13.816,512
dot,16,wide1,4,262144,13.374,512
dot,16,wide16,4,262144,31.859,512
dot,16,wide2,4,262144,13.978,512
dot,16,wide8,4,262144,15.426,512
dot,16,shared,4,262144,15.366,512
dot,16,flock,4,262144,15.611,512
dot,16,wide16,5,262144,31.174,512
dot,16,wide2,5,262144,13.766,512
dot,16,flock,5,262144,15.956,512
dot,16,wide8,5,262144,15.577,512
dot,16,wide4,5,262144,14.727,512
dot,16,wide1,5,262144,13.180,512
dot,16,vec2,5,262144,29.128,512
dot,16,shared,5,262144,15.485,512
dot,16,shared,6,262144,15.330,512
dot,16,wide2,6,262144,13.605,512
dot,16,wide8,6,262144,15.435,512
dot,16,wide16,6,262144,31.714,512
dot,16,wide1,6,262144,13.000,512
dot,16,vec2,6,262144,28.288,512
dot,16,wide4,6,262144,13.894,512
dot,16,flock,6,262144,15.296,512
dot,16,wide16,7,262144,31.609,512
dot,16,shared,7,262144,15.141,512
dot,16,vec2,7,262144,28.552,512
dot,16,flock,7,262144,15.288,512
dot,16,wide4,7,262144,13.953,512
dot,16,wide2,7,262144,13.817,512
dot,16,wide1,7,262144,13.173,512
dot,16,wide8,7,262144,15.380,512
dot,16,wide16,8,262144,31.840,512
dot,16,wide2,8,262144,13.597,512
dot,16,wide1,8,262144,13.167,512
dot,16,shared,8,262144,15.770,512
dot,16,vec2,8,262144,28.513,512
dot,16,wide8,8,262144,17.670,512
dot,16,wide4,8,262144,14.130,512
dot,16,flock,8,262144,15.460,512
dot,16,wide8,9,262144,15.019,512
dot,16,wide2,9,262144,13.882,512
dot,16,wide16,9,262144,56.379,512
dot,16,flock,9,262144,33.841,512
dot,16,vec2,9,262144,65.906,512
dot,16,wide4,9,262144,31.006,512
dot,16,shared,9,262144,54.744,512
dot,16,wide1,9,262144,19.968,512
dot,16,wide16,10,262144,73.209,512
dot,16,wide4,10,262144,32.141,512
dot,16,wide8,10,262144,48.438,512
dot,16,wide2,10,262144,29.165,512
dot,16,shared,10,262144,28.403,512
dot,16,flock,10,262144,15.164,512
dot,16,vec2,10,262144,28.599,512
dot,16,wide1,10,262144,37.147,512
dot,16,wide4,11,262144,48.865,512
dot,16,vec2,11,262144,64.762,512
dot,16,wide2,11,262144,31.414,512
dot,16,shared,11,262144,23.143,512
dot,16,wide1,11,262144,24.886,512
dot,16,wide16,11,262144,96.135,512
dot,16,flock,11,262144,26.491,512
dot,16,wide8,11,262144,15.858,512
dot,16,wide16,12,262144,31.760,512
dot,16,vec2,12,262144,31.827,512
dot,16,wide4,12,262144,14.053,512
dot,16,shared,12,262144,15.394,512
dot,16,flock,12,262144,18.434,512
dot,16,wide2,12,262144,18.179,512
dot,16,wide8,12,262144,26.356,512
dot,16,wide1,12,262144,27.609,512
dot,16,wide8,13,262144,34.377,512
dot,16,vec2,13,262144,43.397,512
dot,16,wide1,13,262144,15.391,512
dot,16,flock,13,262144,18.655,512
dot,16,shared,13,262144,15.718,512
dot,16,wide2,13,262144,14.018,512
dot,16,wide4,13,262144,14.050,512
dot,16,wide16,13,262144,32.358,512
dot,16,wide8,14,262144,15.424,512
dot,16,wide4,14,262144,13.832,512
dot,16,flock,14,262144,15.337,512
dot,16,shared,14,262144,15.209,512
dot,16,wide2,14,262144,13.607,512
dot,16,vec2,14,262144,28.566,512
dot,16,wide1,14,262144,13.217,512
dot,16,wide16,14,262144,31.599,512
dot,16,wide16,15,262144,31.377,512
dot,16,flock,15,262144,15.106,512
dot,16,wide8,15,262144,15.392,512
dot,16,wide4,15,262144,13.851,512
dot,16,vec2,15,262144,28.244,512
dot,16,shared,15,262144,15.501,512
