mode,iteration,setup_ms,witness_commit_ms,continuation_ms,total_prover_ms,verify_ms,proof_bytes,peak_rss_kib,piop_ms,iop_ms,mul_piop_ms,sha_piop_ms,mul_opening_ms,joint_sumcheck_ms,shared_opening_ms
hybrid,0,162.617,1.539,35.082,36.665,8.573,272416,210292,10.799,24.153,1.752,9.047,17.104,5.090,1.959
hybrid,1,162.617,1.424,32.872,34.332,7.595,272416,215308,9.162,23.603,1.632,7.529,16.513,5.145,1.946
