session,input,protocol,rows,threads,samples,original_ms,final_ms,original_p10_ms,original_p90_ms,final_p10_ms,final_p90_ms,saved_percent
1,u32,ordinary,32768,10,21,1.720834,1.278333,1.661959,1.776375,1.136875,1.446625,25.714333863696325
1,u32,ordinary,131072,10,21,4.901084,2.696542,4.794083,5.022542,2.575,2.899042,44.980702228323366
1,u32,ordinary,524288,10,21,17.392167,8.209667,16.915125,18.186334,7.908959,9.489125,52.79675614890312
1,u32,skip-1,4096,10,21,0.362334,0.402375,0.362042,0.363833,0.384917,0.436208,-11.050853632284019
1,u32,skip-1,32768,10,21,2.470042,2.428875,2.377417,2.547792,2.38225,2.500709,1.666651822114762
1,u32,skip-1,131072,10,21,8.258083,8.248042,8.185083,8.740958,8.156584,8.483875,0.1215899622224681
1,u32,skip-1,524288,10,21,31.456416,31.421708,31.138166,32.319584,30.975333,32.22425,0.11033679106990935
1,u32,skip-2,4096,10,21,0.37675,0.455791,0.376458,0.381084,0.454667,0.458959,-20.979694757796953
1,u32,skip-2,32768,10,21,2.925334,2.864291,2.861833,3.018875,2.831708,2.900334,2.0867018945529003
1,u32,skip-2,131072,10,21,10.353542,10.378916,10.272791,10.714833,10.28225,10.54725,-0.2450755499905144
1,u32,skip-2,524288,10,21,39.637666,40.215458,39.480875,40.593958,39.514459,40.576292,-1.4576842137980606
1,u32,skip-3,4096,10,21,0.4385,0.55925,0.438292,0.440291,0.531334,0.585125,-27.537058152793612
1,u32,skip-3,32768,10,21,3.550208,3.441084,3.542084,3.553416,3.341792,3.45675,3.073735398038646
1,u32,skip-3,131072,10,21,13.00175,13.096625,12.934417,13.522291,12.982292,13.556,-0.7297094621877775
1,u32,skip-3,524288,10,21,50.899917,51.156625,50.501417,51.930417,50.606125,52.041542,-0.5043387398843802
1,u32,skip-4,4096,10,21,0.578292,0.649708,0.57775,0.58125,0.642959,0.699167,-12.349470509707894
1,u32,skip-4,32768,10,21,4.713208,4.433417,4.700208,4.745417,4.421583,4.6905,5.936317684260906
1,u32,skip-4,131072,10,21,17.745458,17.747042,17.654583,18.208291,17.669416,18.193958,-0.008926227770511552
1,u32,skip-4,524288,10,21,70.380083,70.482375,69.764,72.540333,69.999916,71.358958,-0.1453422554218875
1,u32,zero,4096,10,21,0.360542,0.3835,0.36025,0.361375,0.383041,0.399584,-6.367635393379967
1,u32,zero,32768,10,21,1.7255,1.229,1.651458,1.774708,1.176042,1.371417,28.77426832802087
1,u32,zero,131072,10,21,4.773791,2.540792,4.667208,4.941167,2.396458,2.730667,46.7762204084762
1,u32,zero,524288,10,21,16.3215,7.537333,16.129834,16.717208,7.230042,8.890916,53.81960604111142
1,u64,ordinary,4096,10,21,0.427166,0.453667,0.426459,0.43325,0.448292,0.455375,-6.203911359986525
1,u64,ordinary,32768,10,21,1.814333,1.233708,1.755333,1.93925,1.132333,1.389333,32.00211868493821
1,u64,ordinary,131072,10,21,5.28575,2.786125,5.210959,5.416166,2.702458,2.95825,47.28988317646502
1,u64,ordinary,524288,10,21,18.608,8.539333,18.141042,18.973417,8.249,8.762125,54.10934544282029
1,u64,skip-1,4096,10,21,0.394417,0.381542,0.393583,0.398208,0.381291,0.393792,3.264311629569716
1,u64,skip-1,32768,10,21,2.583958,2.617583,2.542792,2.641417,2.526916,2.705334,-1.3012982409156715
1,u64,skip-1,131072,10,21,8.870208,8.663667,8.588,9.090708,8.516375,8.856334,2.3284797831121917
1,u64,skip-1,524288,10,21,32.890084,32.660125,32.395167,33.689667,32.351875,33.291916,0.699174255681434
1,u64,skip-2,4096,10,21,0.4135,0.413875,0.413,0.416375,0.401667,0.422667,-0.09068923821040631
1,u64,skip-2,32768,10,21,3.207458,3.116333,3.072,3.271375,3.086167,3.181125,2.8410348631221383
1,u64,skip-2,131072,10,21,11.210875,11.238541,11.11,11.491417,11.112792,11.455958,-0.24677823987868663
1,u64,skip-2,524288,10,21,42.9595,43.071292,42.639875,43.976,42.673417,43.960708,-0.260226492393989
1,u64,skip-3,4096,10,21,0.478291,0.482709,0.477041,0.497209,0.481416,0.4845,-0.9237054429207303
1,u64,skip-3,32768,10,21,3.886917,3.67525,3.733125,3.926375,3.631334,3.830416,5.445626958332273
1,u64,skip-3,131072,10,21,14.299541,14.374,14.193959,14.603542,14.20475,14.629208,-0.5207090213595
1,u64,skip-3,524288,10,21,56.425834,56.115875,55.469875,57.014458,55.435,56.77225,0.5493210787101521
1,u64,skip-4,4096,10,21,0.645166,0.654125,0.644916,0.647041,0.65175,0.659166,-1.3886348629654988
1,u64,skip-4,32768,10,21,5.257167,4.980542,5.103417,5.345833,4.951417,5.133791,5.261864422416107
1,u64,skip-4,131072,10,21,20.030042,19.942833,19.787959,20.452833,19.809375,20.481417,0.4353909991801297
1,u64,skip-4,524288,10,21,80.240084,79.288167,78.509542,81.722958,78.539667,79.847833,1.1863359963581344
1,u64,zero,4096,10,21,0.371,0.373167,0.37025,0.389541,0.370792,0.3915,-0.5840970350404318
1,u64,zero,32768,10,21,1.784792,1.17025,1.704084,1.857708,1.101041,1.283541,34.43213550934787
1,u64,zero,131072,10,21,5.378167,2.633417,5.070666,5.714792,2.489834,2.8585,51.03504595524833
1,u64,zero,524288,10,21,17.609292,7.68925,17.352667,17.896208,7.410541,7.868625,56.334133138345365
2,field,ordinary,4096,10,21,0.334375,0.331083,0.320792,0.341541,0.33,0.332417,0.9845233644859785
2,field,ordinary,32768,10,21,1.400834,1.100791,1.347208,1.5015,0.971375,1.171417,21.41888332236368
2,field,ordinary,131072,10,21,3.90925,2.386375,3.753583,4.068,2.17575,2.5755,38.9556820361962
2,field,ordinary,524288,10,21,12.912834,6.598125,12.684292,13.195625,6.441625,6.928084,48.90258017720974
2,field,skip-1,4096,10,21,0.450083,0.458292,0.446334,0.474334,0.457833,0.459166,-1.8238858166160554
2,field,skip-1,32768,10,21,3.082833,3.140916,3.037958,3.225791,3.029875,3.222334,-1.8840787029333006
2,field,skip-1,131072,10,21,11.006666,11.008,10.893875,11.23175,10.823291,11.190959,-0.012119928050879913
2,field,skip-1,524288,10,21,42.001917,42.000208,41.628,42.908792,41.655917,42.801291,0.00406886190456035
2,field,skip-2,4096,10,21,0.496292,0.495292,0.495625,0.501167,0.494958,0.496125,0.20149428159228489
2,field,skip-2,32768,10,21,3.846959,3.917,3.804875,3.917416,3.813333,3.969291,-1.8206848578318668
2,field,skip-2,131072,10,21,14.37125,14.207291,14.133583,14.889667,14.028083,14.454459,1.140881969209362
2,field,skip-2,524288,10,21,55.151542,55.434666,54.684667,56.232208,54.566917,56.312666,-0.5133564533880142
2,field,skip-3,4096,10,21,0.6075,0.603708,0.603833,0.625416,0.6035,0.603958,0.6241975308642012
2,field,skip-3,32768,10,21,4.778541,4.884375,4.653375,4.866208,4.799375,5.002875,-2.2147764348992682
2,field,skip-3,131072,10,21,18.316541,18.356,18.2375,18.785083,18.195541,18.863709,-0.21542822959859098
2,field,skip-3,524288,10,21,72.890834,75.441917,71.812875,73.434167,72.522333,156.233167,-3.499868035533793
2,field,skip-4,4096,10,21,0.885625,0.829292,0.847125,0.888292,0.829,0.829917,6.360818630910369
2,field,skip-4,32768,10,21,6.481875,6.693167,6.449167,6.674875,6.627791,6.87575,-3.2597358017548927
2,field,skip-4,131072,10,21,25.967042,25.893625,25.727333,26.576208,25.711292,26.886958,0.28273147168630386
2,field,skip-4,524288,10,21,103.318875,103.217708,102.15625,104.353584,102.064917,104.829708,0.09791724890538811
2,field,zero,4096,10,21,0.294334,0.292625,0.287667,0.302167,0.292042,0.293041,0.5806328864487287
2,field,zero,32768,10,21,1.341167,1.089125,1.313708,1.415958,0.975291,1.18375,18.792737966263708
2,field,zero,131072,10,21,4.324125,2.193208,3.662167,4.695667,2.062083,2.285083,49.27972711242159
2,field,zero,524288,10,21,12.503375,6.199709,12.242958,12.75,5.9275,6.487167,50.41571575674568
2,u128,ordinary,4096,10,21,0.781667,0.732667,0.765708,0.850875,0.730834,0.736542,6.268654043217891
2,u128,ordinary,32768,10,21,3.253625,1.792375,3.180625,3.353209,1.453625,1.924083,44.91144492681241
2,u128,ordinary,131072,10,21,11.33825,4.132834,11.155708,11.621917,4.009417,4.37675,63.54963067492778
2,u128,ordinary,524288,10,21,42.675041,13.944125,42.1025,43.083958,13.58975,14.330083,67.3248702912787
2,u128,skip-1,4096,10,21,0.609833,0.567334,0.596167,0.625375,0.566375,0.570167,6.968957075133686
2,u128,skip-1,32768,10,21,4.051,4.157542,4.01,4.268792,4.034708,4.315833,-2.630017279684038
2,u128,skip-1,131072,10,21,14.9995,15.027,14.813958,15.333,14.852208,15.277708,-0.1833394446481451
2,u128,skip-1,524288,10,21,58.319125,58.068542,57.545708,58.7575,57.306958,58.7465,0.4296755138215813
2,u128,skip-2,4096,10,21,0.712583,0.669917,0.700709,0.736916,0.668375,0.673125,5.987513033569424
2,u128,skip-2,32768,10,21,5.275792,5.245958,5.211208,5.394042,5.172958,5.379875,0.5654885560310241
2,u128,skip-2,131072,10,21,20.54875,19.901209,19.711625,20.815375,19.735958,20.312792,3.151242776324592
2,u128,skip-2,524288,10,21,77.711709,79.693167,77.293916,78.10525,79.236667,80.304958,-2.549754760894518
2,u128,skip-3,4096,10,21,0.882458,0.826667,0.864958,0.893667,0.826292,0.828584,6.3222272334773955
2,u128,skip-3,32768,10,21,6.452917,6.448667,6.442458,6.656875,6.429916,6.654291,0.06586168704788564
2,u128,skip-3,131072,10,21,26.265209,25.558,26.07625,26.7975,25.428125,26.247666,2.692569474699402
2,u128,skip-3,524288,10,21,104.168625,101.626667,101.759292,105.051709,100.757541,102.836708,2.440233803604497
2,u128,skip-4,4096,10,21,1.171792,1.1495,1.149958,1.193708,1.114125,1.151583,1.902385406283713
2,u128,skip-4,32768,10,21,8.872042,9.023667,8.724167,9.034875,8.981959,9.305125,-1.7090203134746185
2,u128,skip-4,131072,10,21,36.098875,35.349958,35.01275,36.826708,34.893417,35.923542,2.074626979372629
2,u128,skip-4,524288,10,21,140.039667,140.378125,139.302958,141.142917,139.63875,143.188083,-0.2416872356601596
2,u128,zero,4096,10,21,0.588959,0.556,0.57525,0.596708,0.5545,0.559625,5.596145062729329
2,u128,zero,32768,10,21,3.045,1.482375,3.005584,3.133875,1.222875,1.632708,51.31773399014779
2,u128,zero,131072,10,21,10.563291,3.430042,10.423292,10.82275,3.295417,3.624708,67.52866128557852
2,u128,zero,524288,10,21,39.934125,10.829792,39.313,40.492292,10.655417,11.806875,72.88085816328767
2,u32,ordinary,4096,10,21,0.438166,0.414875,0.42325,0.449916,0.41225,0.432958,5.3155653336863224
2,u32,ordinary,32768,10,21,2.281834,1.222,2.063208,2.687917,1.14825,1.304459,46.446586386213895
2,u32,ordinary,131072,10,21,4.798125,2.899083,4.691125,4.935167,2.700833,3.031166,39.578835482610394
2,u32,ordinary,524288,10,21,17.226209,8.327875,16.779,17.483291,8.140333,8.831375,51.655787991426315
2,u32,skip-1,4096,10,21,0.400917,0.374875,0.385875,0.414542,0.374042,0.37625,6.495608816787513
2,u32,skip-1,32768,10,21,2.577541,2.38775,2.465083,2.832417,2.355334,2.446334,7.363258237211356
2,u32,skip-1,131072,10,21,8.262166,8.702916,8.156375,8.537167,8.574292,8.924625,-5.3345575482264485
2,u32,skip-1,524288,10,21,31.286,31.264042,30.884333,31.8765,31.033875,31.93975,0.07018474717125356
2,u32,skip-2,4096,10,21,0.406292,0.399541,0.403084,0.43075,0.390792,0.407,1.6616128301812472
2,u32,skip-2,32768,10,21,2.962417,2.848375,2.891583,3.063125,2.837625,2.868416,3.8496268418659496
2,u32,skip-2,131072,10,21,10.409667,10.692416,10.347583,10.686583,10.521875,10.913542,-2.7162156099709955
2,u32,skip-2,524288,10,21,40.080167,39.831167,39.525167,40.825917,39.372167,40.577458,0.621254896467871
2,u32,skip-3,4096,10,21,0.471458,0.45575,0.466583,0.478458,0.443875,0.467583,3.33179201540752
2,u32,skip-3,32768,10,21,3.367,3.430625,3.339875,3.459083,3.329917,3.615625,-1.8896643896643806
2,u32,skip-3,131072,10,21,13.100542,13.377084,13.004375,13.453417,13.03275,13.627542,-2.110920296274754
2,u32,skip-3,524288,10,21,51.452042,51.528542,50.560417,52.134583,50.491459,52.736208,-0.14868214559879966
2,u32,skip-4,4096,10,21,0.621042,0.616042,0.617,0.666375,0.614708,0.61925,0.8050985279578482
2,u32,skip-4,32768,10,21,4.44675,4.43525,4.433042,4.505208,4.421084,4.56975,0.2586158430314289
2,u32,skip-4,131072,10,21,17.820375,18.241208,17.673042,18.504667,17.748917,18.729209,-2.3615271844728225
2,u32,skip-4,524288,10,21,70.685833,70.740875,69.630292,71.236292,69.620959,71.328417,-0.07786850301390036
2,u32,zero,4096,10,21,0.375166,0.372959,0.372542,0.39475,0.372125,0.377125,0.5882729245187512
2,u32,zero,32768,10,21,1.856583,1.183542,1.7505,2.034333,1.113542,1.294,36.2515976931815
2,u32,zero,131072,10,21,4.600791,2.846458,4.489166,4.676,2.651042,3.12825,38.131117018790896
2,u32,zero,524288,10,21,16.327,7.844458,16.175416,16.789875,7.223958,11.201208,51.95407607031297
2,u64,ordinary,4096,10,21,0.454917,0.453334,0.448375,0.469833,0.4285,0.458125,0.3479755647733507
2,u64,ordinary,32768,10,21,1.76975,1.178,1.723334,1.918542,1.128083,1.322667,33.436926119508406
2,u64,ordinary,131072,10,21,5.2675,2.832958,5.143333,5.353042,2.72475,2.983083,46.2181680113906
2,u64,ordinary,524288,10,21,18.460666,8.474375,18.215792,18.755583,8.248916,8.678791,54.09496602126922
2,u64,skip-1,4096,10,21,0.409209,0.406125,0.404792,0.416167,0.405042,0.40875,0.7536491132893008
2,u64,skip-1,32768,10,21,2.574459,2.524042,2.467209,2.640583,2.459708,2.590125,1.9583531918744845
2,u64,skip-1,131072,10,21,8.660541,8.603083,8.513125,8.916042,8.435125,8.9325,0.6634458517083441
2,u64,skip-1,524288,10,21,32.777625,32.546125,32.255917,33.270958,32.27625,33.031666,0.7062744783979946
2,u64,skip-2,4096,10,21,0.417458,0.406458,0.403292,0.428833,0.400542,0.418708,2.634995616325475
2,u64,skip-2,32768,10,21,3.080916,3.053833,3.048833,3.144584,3.031292,3.125875,0.8790567480580491
2,u64,skip-2,131072,10,21,11.137459,11.097042,11.03175,11.294583,11.001,11.378542,0.3628924694582536
2,u64,skip-2,524288,10,21,43.297375,43.269917,42.573167,43.82025,42.803625,44.048625,0.06341723949777611
2,u64,skip-3,4096,10,21,0.490375,0.493917,0.479791,0.512208,0.492458,0.496,-0.7223043589089873
2,u64,skip-3,32768,10,21,3.653083,3.635834,3.633208,3.787292,3.631417,3.752667,0.4721765150148549
2,u64,skip-3,131072,10,21,14.280541,14.344959,14.168,14.695791,14.135667,14.600583,-0.4510893529873883
2,u64,skip-3,524288,10,21,56.548791,56.459666,55.934166,57.643209,55.627958,57.231458,0.15760725989703017
2,u64,skip-4,4096,10,21,0.686708,0.647167,0.67375,0.721833,0.645042,0.665875,5.758051457096758
2,u64,skip-4,32768,10,21,5.127959,4.952834,4.969958,5.198542,4.950209,5.194833,3.415101407792065
2,u64,skip-4,131072,10,21,19.95,19.93275,19.817167,20.4775,19.758416,20.542875,0.08646616541353458
2,u64,skip-4,524288,10,21,79.048541,79.112,78.08675,79.724458,78.255208,79.92575,-0.08027852152261428
2,u64,zero,4096,10,21,0.397875,0.394291,0.394916,0.416125,0.393708,0.395625,0.9007854225573375
2,u64,zero,32768,10,21,1.738417,1.183209,1.658208,1.841625,1.063041,1.351458,31.937561586201703
2,u64,zero,131072,10,21,4.946333,2.627291,4.835042,5.098917,2.512333,2.7665,46.88406542786343
2,u64,zero,524288,10,21,17.687375,7.712208,17.424125,18.0515,7.524166,7.90925,56.39710245302088
