session,input,protocol,rows,threads,samples,baseline_ms,candidate_ms,p10_ms,p90_ms,saved_percent
1,field,zero,4096,4,21,0.286458,0.286708,0.284583,0.300792,-0.08727282882656784
1,field,zero,4096,10,21,0.285166,0.2855,0.284625,0.288375,-0.1171247624190741
1,field,zero,32768,1,21,2.222041,2.257875,2.162875,2.350458,-1.612661512546354
1,field,zero,32768,4,21,1.326208,1.028833,1.023542,1.053334,22.42295326223338
1,field,zero,32768,10,21,1.342792,0.997,0.903708,1.174625,25.75171731735071
1,field,zero,131072,1,21,8.588709,8.660917,8.573542,9.050583,-0.840731709503717
1,field,zero,131072,4,21,4.154375,2.821542,2.771167,2.884792,32.08263577553784
1,field,zero,131072,10,21,3.743875,2.212542,2.034958,2.431042,40.90235384461287
1,field,zero,524288,1,21,33.21025,33.272125,33.110417,33.590334,-0.18631296060704905
1,field,zero,524288,4,21,16.047417,10.564208,9.743125,12.825708,34.16879489079145
1,field,zero,524288,10,21,12.364792,6.029583,5.689375,6.394583,51.23587198231883
1,u128,ordinary,4096,1,21,0.749125,0.750667,0.746042,0.797666,-0.2058401468379767
1,u128,ordinary,4096,4,21,0.731583,0.730792,0.729166,0.781,0.10812170321070624
1,u128,ordinary,4096,10,21,0.746292,0.743958,0.730625,0.761667,0.31274621729832086
1,u128,ordinary,32768,1,21,5.814042,5.831542,5.668125,6.029458,-0.3009954176457663
1,u128,ordinary,32768,4,21,3.525875,1.974541,1.957625,1.992875,43.9985535505371
1,u128,ordinary,32768,10,21,3.572375,1.645042,1.39175,2.263708,53.951026977850866
1,u128,ordinary,131072,1,21,24.466417,24.630625,23.3165,31.684417,-0.6711567124846995
1,u128,ordinary,131072,4,21,12.866208,6.680583,6.60775,6.746333,48.07651951530707
1,u128,ordinary,131072,10,21,12.16475,4.915541,4.04925,6.0935,59.59192749542736
1,u128,ordinary,524288,1,21,91.022459,91.055958,90.708875,91.924416,-0.03680300484960597
1,u128,ordinary,524288,4,21,50.796833,25.047542,24.827791,26.571959,50.69074089717365
