family,size,variant,rep,iterations,ns,bytes
dot,16,wide8,17,262144,15.763,512
dot,16,wide4,17,262144,14.694,512
dot,16,wide16,17,262144,33.438,512
dot,16,wide1,17,262144,13.195,512
dot,16,vec2,18,262144,28.648,512
dot,16,wide2,18,262144,13.613,512
dot,16,wide16,18,262144,31.393,512
dot,16,shared,18,262144,15.705,512
dot,16,wide1,18,262144,13.190,512
dot,16,wide8,18,262144,15.488,512
dot,16,flock,18,262144,15.191,512
dot,16,wide4,18,262144,13.999,512
dot,16,shared,19,262144,15.164,512
dot,16,wide4,19,262144,14.370,512
dot,16,flock,19,262144,15.130,512
dot,16,vec2,19,262144,28.452,512
dot,16,wide1,19,262144,13.208,512
dot,16,wide16,19,262144,31.476,512
dot,16,wide2,19,262144,14.196,512
dot,16,wide8,19,262144,15.204,512
dot,16,wide8,20,262144,15.497,512
dot,16,vec2,20,262144,28.498,512
dot,16,wide4,20,262144,13.804,512
dot,16,wide16,20,262144,31.688,512
dot,16,wide1,20,262144,13.654,512
dot,16,flock,20,262144,15.113,512
dot,16,wide2,20,262144,13.621,512
dot,16,shared,20,262144,15.334,512
dot,16,wide1,21,262144,13.170,512
dot,16,wide16,21,262144,31.994,512
dot,16,shared,21,262144,15.247,512
dot,16,vec2,21,262144,28.464,512
dot,16,flock,21,262144,15.160,512
dot,16,wide8,21,262144,15.379,512
dot,16,wide4,21,262144,13.799,512
dot,16,wide2,21,262144,14.136,512
dot,16,wide1,22,262144,13.174,512
dot,16,wide8,22,262144,15.173,512
dot,16,shared,22,262144,15.090,512
dot,16,vec2,22,262144,28.726,512
dot,16,wide2,22,262144,13.653,512
dot,16,flock,22,262144,15.209,512
dot,16,wide4,22,262144,13.849,512
dot,16,wide16,22,262144,31.823,512
dot,16,wide2,23,262144,13.797,512
dot,16,wide16,23,262144,31.720,512
dot,16,flock,23,262144,15.128,512
dot,16,wide8,23,262144,15.221,512
dot,16,wide4,23,262144,13.763,512
dot,16,vec2,23,262144,28.730,512
dot,16,shared,23,262144,15.101,512
dot,16,wide1,23,262144,13.330,512
products,16,karatsuba_barrett,0,262144,28.317,768
products,16,karatsuba,0,262144,50.701,768
products,16,flock,0,262144,16.176,768
products,16,schoolbook,0,262144,43.330,768
products,16,shared,0,262144,17.072,768
products,16,flock,1,262144,16.204,768
products,16,schoolbook,1,262144,43.367,768
products,16,shared,1,262144,16.597,768
products,16,karatsuba_barrett,1,262144,28.053,768
products,16,karatsuba,1,262144,51.384,768
products,16,karatsuba_barrett,2,262144,28.506,768
products,16,flock,2,262144,16.502,768
products,16,karatsuba,2,262144,51.655,768
products,16,shared,2,262144,16.690,768
products,16,schoolbook,2,262144,44.679,768
products,16,karatsuba_barrett,3,262144,28.422,768
